City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
471,Kismayo,SO,76.82,overcast clouds,-0.3582,42.5454,Agan-Hotel
474,Ambulu,ID,75.11,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
475,Kaifeng,CN,63.48,overcast clouds,34.7911,114.3483,Pullman Kaifeng Jianye
482,Todos Santos,MX,80.65,scattered clouds,23.45,-110.2167,Hotel California Todos Santos
484,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Pirineos
485,Hambantota,LK,78.85,clear sky,6.1241,81.1185,Bungalow 63
487,Mahanoro,MG,65.37,scattered clouds,-19.9,48.8,BUNGALOW MAHAMANINA
489,Zhob,PK,73.83,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
490,Nagua,DO,82.45,broken clouds,19.3832,-69.8474,Hotel Cambri
491,Descalvado,BR,77.88,overcast clouds,-21.9039,-47.6194,Hotel Descalvado
494,Jerantut,MY,71.38,overcast clouds,3.936,102.3626,Jerantut Hill Resort
495,Cavalcante,BR,79.54,broken clouds,-13.7975,-47.4583,Pousada Vila dos Ipês
497,Vila Do Maio,CV,79.59,scattered clouds,15.1333,-23.2167,Hotel Marilu
500,Kiama,AU,67.24,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
502,May Pen,JM,85.21,broken clouds,17.9645,-77.2451,Mus Com Bac
504,Makakilo City,US,85.75,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
505,Basco,PH,81.0,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
507,Rockingham,US,60.94,overcast clouds,42.9668,-71.0995,Iron Wheel Mobile Home Park
508,Pijijiapan,MX,78.8,overcast clouds,15.7011,-93.23,Hotel Rosita
509,Monrovia,LR,75.76,light rain,6.3005,-10.7969,Sunset Inn
511,Bougouni,ML,71.24,overcast clouds,11.417,-7.479,Non Stop
513,Lindi,TZ,70.92,scattered clouds,-10.0,39.7167,Lindi paradise house
514,Bonthe,SL,76.14,light rain,7.5264,-12.505,Bonthe Holiday Village
515,Puerto Del Rosario,ES,74.95,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
516,Shingu,JP,67.21,overcast clouds,33.7333,135.9833,Shingu UI Hotel
517,Nizwa,OM,81.54,clear sky,22.9333,57.5333,Orient Apartments
522,Lakatoro,VU,82.35,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
523,Surt,LY,82.54,clear sky,31.2089,16.5887,فندق المدينة
524,Santa Clara,CU,79.79,scattered clouds,22.4,-79.9667,El Carmen
525,Lorengau,PG,83.77,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
528,Port-Gentil,GA,78.76,broken clouds,-0.7193,8.7815,Fengshui Residence
529,Maxixe,MZ,73.6,broken clouds,-23.8597,35.3472,Oceano
530,Vangaindrano,MG,65.98,few clouds,-23.35,47.6,Hotel Fanilo
531,Morondava,MG,73.17,clear sky,-20.2833,44.2833,La Case Bambou
532,Otane,NZ,61.02,overcast clouds,-39.8833,176.6333,Ludlow Farmstay
